shards	ack_mode	payload_size	route_keys	max_pending_bytes	throughput_msg_per_sec	avg_submit_us	p50_submit_us	p95_submit_us	p99_submit_us
1	write_ack	128	0	0	1033271.34	1.4521	0.0000	0.0000	0.0000
1	write_ack	128	0	131072	430487.10	24.7839	0.0000	0.0000	5.0000
1	write_ack	128	0	524288	794407.37	9.4071	0.0000	0.0000	0.0000
1	write_ack	512	0	0	464921.66	3.9441	0.0000	0.0000	0.0000
1	write_ack	512	0	131072	156696.83	88.1820	0.0000	0.0000	2772.0000
1	write_ack	512	0	524288	271550.96	43.0121	0.0000	0.0000	3081.0000
1	write_ack	2048	0	0	154929.47	10.1468	1.0000	1.0000	4.0000
1	write_ack	2048	0	131072	43849.55	334.1463	1.0000	2812.0000	3611.0000
1	write_ack	2048	0	524288	97521.02	131.9885	1.0000	2.0000	3816.0000
1	sync_ack	128	0	0	991424.18	1.2299	0.0000	0.0000	0.0000
1	sync_ack	512	0	0	472757.36	2.5903	0.0000	0.0000	0.0000
1	sync_ack	2048	0	0	143735.99	10.2558	1.0000	1.0000	2.0000
2	write_ack	128	0	0	980440.22	1.1478	0.0000	0.0000	0.0000
2	write_ack	128	0	131072	411471.83	26.6867	0.0000	0.0000	14.0000
2	write_ack	128	0	524288	578820.94	10.2667	0.0000	0.0000	0.0000
2	write_ack	128	4	0	812743.82	7.6355	6.0000	17.0000	32.0000
2	write_ack	128	4	131072	658046.26	15.7178	2.0000	16.0000	30.0000
2	write_ack	128	4	524288	893056.49	8.0971	7.0000	17.0000	33.0000
2	write_ack	128	16	0	864902.27	8.3283	7.0000	18.0000	35.0000
2	write_ack	128	16	131072	607958.17	17.6383	2.0000	17.0000	30.0000
2	write_ack	128	16	524288	891861.76	8.1800	6.0000	17.0000	33.0000
2	write_ack	512	0	0	482241.46	4.0611	0.0000	0.0000	0.0000
2	write_ack	512	0	131072	153195.66	90.4830	0.0000	0.0000	3021.0000
2	write_ack	512	0	524288	284916.52	39.8415	0.0000	0.0000	3170.0000
2	write_ack	512	4	0	626782.41	12.3177	9.0000	26.0000	63.0000
2	write_ack	512	4	131072	241513.81	56.5000	2.0000	26.0000	2295.0000
2	write_ack	512	4	524288	588616.16	18.6077	7.0000	24.0000	47.0000
2	write_ack	512	16	0	670915.80	12.5587	8.0000	27.0000	59.0000
2	write_ack	512	16	131072	235313.50	59.7030	2.0000	23.0000	2629.0000
2	write_ack	512	16	524288	536149.91	18.5659	9.0000	26.0000	53.0000
2	write_ack	2048	0	0	159422.25	10.2783	1.0000	1.0000	2.0000
2	write_ack	2048	0	131072	43286.11	337.2469	1.0000	2888.0000	3547.0000
2	write_ack	2048	0	524288	90558.79	138.0283	1.0000	2.0000	4425.0000
2	write_ack	2048	4	0	295495.18	28.3987	18.0000	55.0000	304.0000
2	write_ack	2048	4	131072	73020.68	206.8399	4.0000	1794.0000	5555.0000
2	write_ack	2048	4	524288	161287.72	81.5325	3.0000	61.0000	3124.0000
2	write_ack	2048	16	0	297663.34	30.0804	18.0000	57.0000	308.0000
2	write_ack	2048	16	131072	70747.13	213.3479	4.0000	1891.0000	4485.0000
2	write_ack	2048	16	524288	166633.34	78.6855	3.0000	59.0000	2986.0000
2	sync_ack	128	0	0	828157.35	1.2851	0.0000	0.0000	0.0000
2	sync_ack	128	4	0	851534.89	7.8010	6.0000	15.0000	35.0000
2	sync_ack	128	16	0	878580.21	8.2935	6.0000	16.0000	32.0000
2	sync_ack	512	0	0	458526.30	2.8226	0.0000	0.0000	0.0000
2	sync_ack	512	4	0	577817.58	13.3913	9.0000	23.0000	57.0000
2	sync_ack	512	16	0	551983.00	13.5428	9.0000	24.0000	57.0000
2	sync_ack	2048	0	0	153798.83	12.9411	1.0000	1.0000	2.0000
2	sync_ack	2048	4	0	281309.78	29.5965	18.0000	55.0000	280.0000
2	sync_ack	2048	16	0	263587.96	30.9657	18.0000	57.0000	113.0000
4	write_ack	128	0	0	822199.38	1.4943	0.0000	0.0000	0.0000
4	write_ack	128	0	131072	414851.69	26.0815	0.0000	0.0000	79.0000
4	write_ack	128	0	524288	667178.17	9.6278	0.0000	0.0000	0.0000
4	write_ack	128	4	0	764350.68	9.4308	10.0000	18.0000	54.0000
4	write_ack	128	4	131072	718158.64	9.9542	10.0000	20.0000	59.0000
4	write_ack	128	4	524288	659347.90	9.8748	9.0000	20.0000	49.0000
4	write_ack	128	16	0	717051.48	9.1461	10.0000	20.0000	38.0000
4	write_ack	128	16	131072	616617.85	10.5656	10.0000	28.0000	81.0000
4	write_ack	128	16	524288	765990.04	10.4877	9.0000	27.0000	54.0000
4	write_ack	512	0	0	448782.68	4.0998	0.0000	0.0000	1.0000
4	write_ack	512	0	131072	136429.37	99.7536	0.0000	0.0000	3659.0000
4	write_ack	512	0	524288	256508.91	44.7120	0.0000	0.0000	3083.0000
4	write_ack	512	4	0	574894.36	13.4788	10.0000	25.0000	72.0000
4	write_ack	512	4	131072	334997.15	33.2659	6.0000	23.0000	177.0000
4	write_ack	512	4	524288	585908.89	13.1302	10.0000	26.0000	63.0000
4	write_ack	512	16	0	622103.33	12.3829	11.0000	25.0000	55.0000
4	write_ack	512	16	131072	270423.75	46.2435	10.0000	26.0000	159.0000
4	write_ack	512	16	524288	694227.50	13.5914	11.0000	34.0000	78.0000
4	write_ack	2048	0	0	152844.43	11.1207	1.0000	2.0000	5.0000
4	write_ack	2048	0	131072	40896.53	356.7557	1.0000	3010.0000	3844.0000
4	write_ack	2048	0	524288	89716.27	143.9080	1.0000	2.0000	4560.0000
4	write_ack	2048	4	0	360926.14	27.5075	18.0000	60.0000	273.0000
4	write_ack	2048	4	131072	99163.06	151.6989	9.0000	67.0000	4723.0000
4	write_ack	2048	4	524288	249168.40	52.5200	17.0000	47.0000	227.0000
4	write_ack	2048	16	0	348074.28	27.5386	20.0000	56.0000	213.0000
4	write_ack	2048	16	131072	84056.57	178.3600	12.0000	59.0000	5547.0000
4	write_ack	2048	16	524288	202961.20	63.6437	20.0000	57.0000	436.0000
4	sync_ack	128	0	0	866438.50	1.4846	0.0000	0.0000	0.0000
4	sync_ack	128	4	0	651359.71	12.8203	8.0000	15.0000	67.0000
4	sync_ack	128	16	0	610966.86	12.6868	9.0000	21.0000	80.0000
